id,name
637,BP plc.
932,Chevron Corporation
993,Shell plc
1578,Apple Inc.
1797,Samsung
2214,PETA
2996,New York Times Company
3245,Rank a brand
3524,Businessweek
3528,Sourcewatch
3529,The Guardian
3531,Triple Pundit
3532,CNET
3534,"Huffington Post (THEHUFFINGTONPOST.COM, INC.)"
3536,Tech in Asia
3540,The Financial Times
3557,Multinational Monitor
3577,John Wiley Sons
3898,Total S.A.
3964,Texaco Inc
3986,Panasonic Corporation
4019,PetroChina Company Limited
4080,Oil and Natural Gas Corporation
4093,Intel Corporation
4281,Exxon Mobil
4393,Halliburton Company
4427,Tesoro Corporation
4577,Serco Group plc.
4580,NHS
5110,Zady
5113,Whole Foods Market Inc.
5204,Burger King Worldwide
5206,ABP Food Group
5208,Aldi Sud
5210,Tesco PLC
5301,Inditex
5420,Primark
5505,Gap inc.
5568,Asda Stores Ltd.
5587,Levi Strauss & Co.
5590,H&M
5676,Vedanta Resources plc
5800,Nike Inc.
5803,Daewoo International
6241,Tata Global Beverages
6244,Amalgamated Plantations Pvt. Ltd.
6273,Tesla Motors
6344,Estee Lauder Companies Inc.
6359,Lush
6370,Archer Daniels Midland
6373,Nestle
6376,Cargill Inc.
6446,Danone Group
6526,Mars Inc.
6576,American Apparel
6639,Tata Steel Limited
6673,General Mills Inc.
7217,Adidas AG
7280,DEI
7290,IKEA
7300,Philip Morris International
7311,Media Markt
7322,Praktiker
7332,Gazprom
7343,Ryanair Ltd.
7354,Microsoft Corporation
7364,"Wal-Mart Stores, Inc."
7781,Siemens AG
7939,Procter & Gamble Co.
8037,Tyson Foods
8040,Oxford University Press
8126,Starbucks Corporation
8153,BeGood Clothing
8362,Kering
8471,FIFA
8699,Wipro Limited
8749,Benetton Group Spa
8797,Johnson&Johnson
8853,C&A
8868,Verizon Communications Inc.
8906,Unilever
8908,Ferrero SpA
8912,The Coca Cola Company
8924,PepsiCo Inc.
8977,Valentino SpA
8979,Louis Vuitton Malletier SA (LVMH)
8994,Google Inc.
9127,Esprit Holdings Limited
9139,Burberry Group plc
9141,Uniqlo Co.
9216,Monsanto Company
9269,Marks and Spencer Group plc
9410,Patagonia Inc.
9413,The Walt Disney Company
9430,Kraft Foods Group Inc.
9558,Natura Cosmeticos S.A.
9601,Kellogg Co.
9652,Henkel AG & Co. KGaA
9870,Fairphone
10095,Barilla S.p.A.
